mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2831.168873945872,0.5268844152163475,412.70653891563416,3.7653421585902493,0.1,0.1,"{'gamma': 0.1, 'C': 0.1}",0.11235,0.11235,0.1124,0.11236666666666667,2.357022603954899e-05,4
1893.9614156087239,5.392471410054135,551.3169816335043,1.6422554320420855,0.01,0.1,"{'gamma': 0.01, 'C': 0.1}",0.6045,0.60685,0.61235,0.6079,0.0032896301717163334,2
3387.6828422546387,6.533181539868748,306.68971904118854,1.062474585699892,0.1,1,"{'gamma': 0.1, 'C': 1}",0.1766,0.1811,0.18675,0.18148333333333333,0.00415257617496523,3
1917.8641010920207,34.14622880437516,465.69858328501385,1.2581432694171952,0.01,1,"{'gamma': 0.01, 'C': 1}",0.8268,0.83315,0.83215,0.8306999999999999,0.0027877709135914626,1
