mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13437.239036639532,11.404894055245526,3674.57142162323,5.087596288803246,0.1,0.1,"{'gamma': 0.1, 'C': 0.1}",0.11235,0.11235,0.1124,0.11236666666666667,2.357022603954899e-05,4
8724.611094633738,27.27201679821484,3309.7362118562064,4.505955330687078,0.01,0.1,"{'gamma': 0.01, 'C': 0.1}",0.6045,0.60685,0.61235,0.6079,0.0032896301717163334,2
14876.41787258784,3446.168223969233,2163.0087258815765,900.0584929615752,0.1,1,"{'gamma': 0.1, 'C': 1}",0.1766,0.1811,0.18675,0.18148333333333333,0.00415257617496523,3
5259.437867800395,996.9889020454324,1581.4400592645009,525.6419130915053,0.01,1,"{'gamma': 0.01, 'C': 1}",0.8268,0.83315,0.83215,0.8306999999999999,0.0027877709135914626,1
